synthetic,date,operator_id,task_type,tonnes,distance_m,operator_experience_yrs,terrain,weather,recent_cycle_s,duration_min
1,2026-07-08,OP-101,stockpile,262.854,45.393,12,firm,heat,28.871,17.406
1,2026-07-08,OP-101,stockpile,64.626,114.045,12,firm,heat,29.741,7.609
1,2026-07-08,OP-101,stockpile,121.236,76.684,12,firm,heat,31.659,13.949
1,2026-07-08,OP-101,stockpile,216.288,70.032,12,firm,heat,31.376,14.726
1,2026-07-08,OP-101,stockpile,310.596,37.433,12,firm,heat,31.567,22.285
1,2026-07-08,OP-101,stockpile,272.794,145.636,12,firm,heat,32.412,23.192
1,2026-07-08,OP-101,stockpile,41.544,15.733,12,firm,heat,31.307,3.518
1,2026-07-08,OP-101,stockpile,312.953,73.796,12,firm,heat,30.351,25.46
1,2026-07-09,OP-101,trenching,177.468,112.638,12,firm,clear,41.999,26.307
1,2026-07-09,OP-101,trenching,170.402,27.901,12,firm,clear,38.754,23.349
1,2026-07-09,OP-101,trenching,42.577,159.017,12,firm,clear,41.283,6.96
1,2026-07-09,OP-101,trenching,257.039,39.922,12,firm,clear,41.034,31.791
1,2026-07-09,OP-101,trenching,137.23,48.336,12,firm,clear,40.253,19.966
1,2026-07-09,OP-101,trenching,235.89,17.081,12,firm,clear,41.363,33.049
1,2026-07-09,OP-101,trenching,267.457,64.772,12,firm,clear,39.761,47.096
1,2026-07-09,OP-101,trenching,407.819,146.364,12,firm,clear,41.506,67.802
1,2026-07-09,OP-101,trenching,60.564,105.235,12,firm,clear,36.13,10.32
1,2026-07-09,OP-101,trenching,384.994,26.513,12,firm,clear,43.62,70.565
1,2026-07-10,OP-101,load_truck,67.666,105.459,12,soft,clear,32.443,7.816
1,2026-07-10,OP-101,load_truck,129.566,26.363,12,soft,clear,38.84,14.973
1,2026-07-10,OP-101,load_truck,304.051,136.546,12,soft,clear,38.759,33.73
1,2026-07-10,OP-101,load_truck,46.019,86.337,12,soft,clear,37.276,7.639
1,2026-07-10,OP-101,load_truck,130.075,94.844,12,soft,clear,40.468,16.752
1,2026-07-10,OP-101,load_truck,48.734,31.522,12,soft,clear,39.632,6.942
1,2026-07-10,OP-101,load_truck,343.309,99.854,12,soft,clear,37.893,38.489
1,2026-07-10,OP-101,load_truck,210.878,142.127,12,soft,clear,39.129,29.337
1,2026-07-10,OP-101,load_truck,29.622,1.561,12,soft,clear,41.581,3.231
1,2026-07-10,OP-101,load_truck,368.046,40.412,12,soft,clear,39.83,40.798
1,2026-07-11,OP-101,grading,46.52,57.689,12,firm,clear,43.283,11.812
1,2026-07-11,OP-101,grading,397.905,78.291,12,firm,clear,39.582,71.404
1,2026-07-11,OP-101,grading,372.535,20.788,12,firm,clear,45.758,81.542
1,2026-07-11,OP-101,grading,260.636,141.677,12,firm,clear,47.379,60.855
1,2026-07-11,OP-101,grading,112.707,57.248,12,firm,clear,45.839,21.915
1,2026-07-11,OP-101,grading,69.149,62.698,12,firm,clear,48.083,14.554
1,2026-07-11,OP-101,grading,143.315,65.076,12,firm,clear,44.27,25.957
1,2026-07-11,OP-101,grading,298.848,36.21,12,firm,clear,43.148,63.544
1,2026-07-11,OP-101,grading,85.363,74.818,12,firm,clear,45.327,20.232
1,2026-07-11,OP-101,grading,363.12,113.054,12,firm,clear,40.507,63.666
1,2026-07-12,OP-101,trenching,355.113,106.864,12,rocky,clear,53.148,64.238
1,2026-07-12,OP-101,trenching,271.369,93.265,12,rocky,clear,50.024,46.208
1,2026-07-12,OP-101,trenching,294.874,44.304,12,rocky,clear,48.563,56.47
1,2026-07-12,OP-101,trenching,40.224,27.26,12,rocky,clear,52.963,6.778
1,2026-07-12,OP-101,trenching,368.616,64.808,12,rocky,clear,50.757,67.926
1,2026-07-12,OP-101,trenching,314.728,105.408,12,rocky,clear,46.459,52.468
1,2026-07-12,OP-101,trenching,265.882,40.634,12,rocky,clear,51.96,44.547
1,2026-07-12,OP-101,trenching,398.027,57.606,12,rocky,clear,55.051,70.387
1,2026-07-12,OP-101,trenching,328.255,68.681,12,rocky,clear,49.911,60.661
1,2026-07-12,OP-101,trenching,246.773,26.584,12,rocky,clear,49.837,37.707
1,2026-07-13,OP-101,grading,314.905,21.352,12,firm,clear,44.211,70.498
1,2026-07-13,OP-101,grading,388.823,132.309,12,firm,clear,44.988,82.089
1,2026-07-13,OP-101,grading,380.206,130.345,12,firm,clear,45.121,77.57
1,2026-07-13,OP-101,grading,245.738,140.169,12,firm,clear,42.053,41.867
1,2026-07-13,OP-101,grading,26.29,100.281,12,firm,clear,44.21,6.256
1,2026-07-13,OP-101,grading,213.479,156.607,12,firm,clear,41.816,47.429
1,2026-07-13,OP-101,grading,301.903,40.688,12,firm,clear,39.269,55.825
1,2026-07-13,OP-101,grading,189.82,77.732,12,firm,clear,42.853,40.556
1,2026-07-13,OP-101,grading,284.557,27.588,12,firm,clear,41.748,59.262
1,2026-07-13,OP-101,grading,214.24,12.988,12,firm,clear,43.347,37.85
1,2026-07-14,OP-101,stockpile,226.074,24.299,12,soft,clear,33.539,18.391
1,2026-07-14,OP-101,stockpile,46.398,54.23,12,soft,clear,35.778,4.632
1,2026-07-14,OP-101,stockpile,359.482,50.583,12,soft,clear,35.047,31.088
1,2026-07-14,OP-101,stockpile,78.73,128.726,12,soft,clear,35.691,7.915
1,2026-07-14,OP-101,stockpile,153.534,121.439,12,soft,clear,33.282,13.072
1,2026-07-14,OP-101,stockpile,337.228,98.027,12,soft,clear,35.847,29.477
1,2026-07-14,OP-101,stockpile,128.649,66.731,12,soft,clear,34.574,13.074
1,2026-07-14,OP-101,stockpile,76.16,157.409,12,soft,clear,34.461,10.831
1,2026-07-14,OP-101,stockpile,403.04,26.254,12,soft,clear,34.529,32.979
1,2026-07-14,OP-101,stockpile,30.764,64.539,12,soft,clear,35.196,4.676
1,2026-07-15,OP-101,trenching,226.041,77.911,12,soft,heat,51.197,37.195
1,2026-07-15,OP-101,trenching,166.23,100.352,12,soft,heat,48.205,33.545
1,2026-07-15,OP-101,trenching,295.174,40.552,12,soft,heat,46.183,47.218
1,2026-07-15,OP-101,trenching,247.47,75.357,12,soft,heat,48.085,38.134
1,2026-07-15,OP-101,trenching,411.554,64.397,12,soft,heat,47.963,72.7
1,2026-07-15,OP-101,trenching,407.568,72.963,12,soft,heat,49.245,72.139
1,2026-07-15,OP-101,trenching,224.497,108.006,12,soft,heat,50.098,46.751
1,2026-07-15,OP-101,trenching,80.264,120.411,12,soft,heat,49.341,19.758
1,2026-07-15,OP-101,trenching,146.445,115.075,12,soft,heat,48.648,30.6
1,2026-07-15,OP-101,trenching,119.24,79.741,12,soft,heat,48.697,25.688
1,2026-07-16,OP-101,stockpile,307.379,105.814,12,firm,clear,30.939,23.22
1,2026-07-16,OP-101,stockpile,77.419,69.255,12,firm,clear,31.341,7.972
1,2026-07-16,OP-101,stockpile,67.883,119.323,12,firm,clear,29.881,7.179
1,2026-07-16,OP-101,stockpile,102.577,86.461,12,firm,clear,27.279,7.596
1,2026-07-16,OP-101,stockpile,263.085,1.53,12,firm,clear,28.935,19.888
1,2026-07-16,OP-101,stockpile,82.599,137.25,12,firm,clear,28.73,8.937
1,2026-07-16,OP-101,stockpile,347.978,77.718,12,firm,clear,27.991,20.99
1,2026-07-16,OP-101,stockpile,388.281,84.121,12,firm,clear,30.483,29.118
1,2026-07-16,OP-101,stockpile,30.451,25.829,12,firm,clear,31.114,1.426
1,2026-07-16,OP-101,stockpile,102.473,99.521,12,firm,clear,28.846,8.735
1,2026-07-17,OP-101,stockpile,360.353,31.84,12,firm,rain,37.418,33.914
1,2026-07-17,OP-101,stockpile,246.124,120.315,12,firm,rain,35.613,26.761
1,2026-07-17,OP-101,stockpile,57.66,42.913,12,firm,rain,35.236,5.568
1,2026-07-17,OP-101,stockpile,360.081,42.238,12,firm,rain,33.667,29.919
1,2026-07-17,OP-101,stockpile,287.801,89.019,12,firm,rain,32.348,24.95
1,2026-07-17,OP-101,stockpile,275.567,109.662,12,firm,rain,34.061,25.254
1,2026-07-17,OP-101,stockpile,134.608,99.233,12,firm,rain,36.789,13.072
1,2026-07-17,OP-101,stockpile,138.091,110.212,12,firm,rain,37.534,14.79
1,2026-07-17,OP-101,stockpile,396.231,108.608,12,firm,rain,32.737,35.114
1,2026-07-17,OP-101,stockpile,81.003,86.415,12,firm,rain,37.569,9.037
1,2026-07-18,OP-101,trenching,398.52,107.418,12,firm,clear,38.323,51.236
1,2026-07-18,OP-101,trenching,287.072,13.47,12,firm,clear,40.572,36.008
1,2026-07-18,OP-101,trenching,290.568,75.428,12,firm,clear,37.845,40.843
1,2026-07-18,OP-101,trenching,251.735,13.028,12,firm,clear,38.912,33.22
1,2026-07-18,OP-101,trenching,55.256,49.017,12,firm,clear,40.644,7.988
1,2026-07-18,OP-101,trenching,288.259,95.048,12,firm,clear,39.417,32.635
1,2026-07-18,OP-101,trenching,69.723,32.971,12,firm,clear,39.388,10.397
1,2026-07-18,OP-101,trenching,29.754,92.934,12,firm,clear,38.737,5.08
1,2026-07-18,OP-101,trenching,329.522,62.164,12,firm,clear,43.531,54.395
1,2026-07-18,OP-101,trenching,71.224,129.305,12,firm,clear,39.45,12.096
1,2026-07-19,OP-101,load_truck,357.517,76.772,12,firm,clear,32.554,29.919
1,2026-07-19,OP-101,load_truck,199.665,37.671,12,firm,clear,31.834,19.632
1,2026-07-19,OP-101,load_truck,375.195,14.393,12,firm,clear,35.274,36.091
1,2026-07-19,OP-101,load_truck,99.227,108.745,12,firm,clear,33.8,10.855
1,2026-07-19,OP-101,load_truck,171.416,33.564,12,firm,clear,34.711,15.02
1,2026-07-19,OP-101,load_truck,303.247,8.455,12,firm,clear,32.449,25.397
1,2026-07-19,OP-101,load_truck,22.098,45.699,12,firm,clear,30.519,1.294
1,2026-07-19,OP-101,load_truck,415.731,51.365,12,firm,clear,34.496,47.469
1,2026-07-19,OP-101,load_truck,274.851,49.996,12,firm,clear,32.903,22.877
1,2026-07-19,OP-101,load_truck,302.375,27.947,12,firm,clear,33.397,25.669
1,2026-07-20,OP-101,load_truck,53.673,137.482,12,firm,heat,35.938,7.088
1,2026-07-20,OP-101,load_truck,172.722,63.124,12,firm,heat,35.286,17.292
1,2026-07-20,OP-101,load_truck,320.177,101.92,12,firm,heat,34.437,34.33
1,2026-07-20,OP-101,load_truck,244.935,26.139,12,firm,heat,35.318,26.189
1,2026-07-20,OP-101,load_truck,177.909,2.398,12,firm,heat,36.569,16.088
1,2026-07-20,OP-101,load_truck,132.813,55.048,12,firm,heat,35.8,13.424
1,2026-07-20,OP-101,load_truck,342.203,139.41,12,firm,heat,34.356,35.61
1,2026-07-20,OP-101,load_truck,65.329,155.112,12,firm,heat,35.553,9.171
1,2026-07-20,OP-101,load_truck,220.313,111.938,12,firm,heat,36.334,20.102
1,2026-07-20,OP-101,load_truck,207.666,131.841,12,firm,heat,37.628,20.909
1,2026-07-21,OP-101,load_truck,399.612,19.498,12,firm,clear,35.063,31.679
1,2026-07-21,OP-101,load_truck,167.177,36.179,12,firm,clear,35.081,16.806
1,2026-07-21,OP-101,load_truck,152.765,149.596,12,firm,clear,34.676,16.017
1,2026-07-21,OP-101,load_truck,271.014,92.071,12,firm,clear,34.055,26.666
1,2026-07-21,OP-101,load_truck,231.925,28.184,12,firm,clear,32.73,20.741
1,2026-07-21,OP-101,load_truck,381.586,15.326,12,firm,clear,34.197,38.784
1,2026-07-21,OP-101,load_truck,41.216,77.307,12,firm,clear,33.548,4.505
1,2026-07-21,OP-101,load_truck,244.165,40.595,12,firm,clear,32.28,23.673
1,2026-07-21,OP-101,load_truck,266.296,157.539,12,firm,clear,30.154,30.876
1,2026-07-21,OP-101,load_truck,365.938,38.997,12,firm,clear,35.781,36.268
1,2026-07-22,OP-101,load_truck,362.202,86.046,12,soft,clear,39.663,42.604
1,2026-07-22,OP-101,load_truck,155.75,132.7,12,soft,clear,37.855,18.105
1,2026-07-22,OP-101,load_truck,89.754,143.586,12,soft,clear,36.161,10.114
1,2026-07-22,OP-101,load_truck,392.681,0.014,12,soft,clear,37.368,41.603
1,2026-07-22,OP-101,load_truck,241.261,93.069,12,soft,clear,40.878,28.403
1,2026-07-22,OP-101,load_truck,380.829,50.431,12,soft,clear,39.956,45.613
1,2026-07-22,OP-101,load_truck,167.921,34.187,12,soft,clear,36.598,17.488
1,2026-07-22,OP-101,load_truck,157.256,1.85,12,soft,clear,34.954,12.892
1,2026-07-22,OP-101,load_truck,275.831,63.743,12,soft,clear,37.631,25.396
1,2026-07-22,OP-101,load_truck,115.399,83.499,12,soft,clear,39.99,11.326
1,2026-07-23,OP-101,stockpile,165.105,139.796,12,soft,clear,34.88,14.197
1,2026-07-23,OP-101,stockpile,125.104,66.401,12,soft,clear,32.327,10.243
1,2026-07-23,OP-101,stockpile,223.84,138.929,12,soft,clear,34.02,21.907
1,2026-07-23,OP-101,stockpile,365.59,19.29,12,soft,clear,34.567,28.166
1,2026-07-23,OP-101,stockpile,79.184,140.998,12,soft,clear,31.54,7.981
1,2026-07-23,OP-101,stockpile,253.149,13.877,12,soft,clear,37.743,21.651
1,2026-07-23,OP-101,stockpile,24.683,7.49,12,soft,clear,32.994,2.321
1,2026-07-23,OP-101,stockpile,319.561,123.003,12,soft,clear,33.645,29.236
1,2026-07-23,OP-101,stockpile,52.595,2.135,12,soft,clear,28.0,1.972
1,2026-07-23,OP-101,stockpile,351.601,114.311,12,soft,clear,38.142,34.567
1,2026-07-24,OP-101,grading,181.536,79.816,12,rocky,clear,54.826,48.526
1,2026-07-24,OP-101,grading,342.603,122.906,12,rocky,clear,51.987,80.113
1,2026-07-24,OP-101,grading,188.318,150.715,12,rocky,clear,52.419,54.012
1,2026-07-24,OP-101,grading,333.365,30.718,12,rocky,clear,51.188,75.776
1,2026-07-24,OP-101,grading,142.965,81.935,12,rocky,clear,52.458,34.321
1,2026-07-24,OP-101,grading,392.594,72.08,12,rocky,clear,55.18,93.584
1,2026-07-24,OP-101,grading,352.781,1.089,12,rocky,clear,54.195,85.172
1,2026-07-24,OP-101,grading,190.539,86.542,12,rocky,clear,51.795,44.187
1,2026-07-24,OP-101,grading,40.694,145.524,12,rocky,clear,58.177,13.424
1,2026-07-24,OP-101,grading,284.471,127.216,12,rocky,clear,58.041,80.542
1,2026-07-25,OP-101,stockpile,252.013,70.804,12,rocky,clear,38.84,23.557
1,2026-07-25,OP-101,stockpile,244.877,45.508,12,rocky,clear,37.908,22.098
1,2026-07-25,OP-101,stockpile,412.525,138.775,12,rocky,clear,38.553,41.415
1,2026-07-25,OP-101,stockpile,111.659,35.064,12,rocky,clear,40.91,10.495
1,2026-07-25,OP-101,stockpile,252.417,59.263,12,rocky,clear,37.156,20.563
1,2026-07-25,OP-101,stockpile,288.445,124.145,12,rocky,clear,37.856,30.444
1,2026-07-25,OP-101,stockpile,362.399,77.726,12,rocky,clear,37.532,31.082
1,2026-07-25,OP-101,stockpile,367.467,28.275,12,rocky,clear,37.316,34.126
1,2026-07-25,OP-101,stockpile,377.284,124.493,12,rocky,clear,41.236,41.309
1,2026-07-25,OP-101,stockpile,62.879,123.101,12,rocky,clear,37.093,7.426
1,2026-07-26,OP-101,stockpile,282.456,137.598,12,firm,clear,32.394,23.663
1,2026-07-26,OP-101,stockpile,225.078,5.608,12,firm,clear,29.679,14.457
1,2026-07-26,OP-101,stockpile,229.25,130.984,12,firm,clear,32.93,23.512
1,2026-07-26,OP-101,stockpile,51.949,21.883,12,firm,clear,30.011,3.734
1,2026-07-26,OP-101,stockpile,142.655,32.776,12,firm,clear,29.128,11.332
1,2026-07-26,OP-101,stockpile,319.265,79.649,12,firm,clear,30.355,23.669
1,2026-07-26,OP-101,stockpile,358.738,133.572,12,firm,clear,32.216,32.096
1,2026-07-26,OP-101,stockpile,270.15,43.684,12,firm,clear,31.079,20.707
1,2026-07-26,OP-101,stockpile,269.851,7.843,12,firm,clear,29.118,17.907
1,2026-07-26,OP-101,stockpile,150.116,127.519,12,firm,clear,29.981,13.292
1,2026-07-27,OP-101,stockpile,127.702,54.823,12,firm,clear,30.696,8.748
1,2026-07-27,OP-101,stockpile,274.553,80.319,12,firm,clear,30.842,20.975
1,2026-07-27,OP-101,stockpile,339.98,158.188,12,firm,clear,29.998,24.803
1,2026-07-27,OP-101,stockpile,371.529,10.714,12,firm,clear,28.61,21.451
1,2026-07-27,OP-101,stockpile,82.148,133.608,12,firm,clear,33.076,8.002
1,2026-07-27,OP-101,stockpile,285.326,111.266,12,firm,clear,31.309,24.74
1,2026-07-27,OP-101,stockpile,399.919,77.277,12,firm,clear,29.611,24.138
1,2026-07-27,OP-101,stockpile,72.369,71.026,12,firm,clear,31.903,4.728
1,2026-07-27,OP-101,stockpile,28.359,13.337,12,firm,clear,28.834,1.0
1,2026-07-27,OP-101,stockpile,311.543,12.852,12,firm,clear,31.131,25.766
1,2026-07-28,OP-101,stockpile,130.376,100.253,12,firm,clear,30.069,13.08
1,2026-07-28,OP-101,stockpile,227.592,48.685,12,firm,clear,30.56,15.307
1,2026-07-28,OP-101,stockpile,308.855,158.021,12,firm,clear,29.983,22.576
1,2026-07-28,OP-101,stockpile,86.146,67.713,12,firm,clear,30.816,6.896
1,2026-07-28,OP-101,stockpile,181.95,145.857,12,firm,clear,30.305,13.643
1,2026-07-28,OP-101,stockpile,137.573,137.603,12,firm,clear,30.433,11.918
1,2026-07-28,OP-101,stockpile,97.702,56.081,12,firm,clear,30.279,9.795
1,2026-07-28,OP-101,stockpile,338.048,66.798,12,firm,clear,29.601,25.067
1,2026-07-28,OP-101,stockpile,100.343,157.111,12,firm,clear,29.456,11.163
1,2026-07-28,OP-101,stockpile,309.022,66.136,12,firm,clear,28.615,24.781
1,2026-07-29,OP-101,load_truck,389.743,12.091,12,firm,rain,38.82,40.874
1,2026-07-29,OP-101,load_truck,270.398,140.302,12,firm,rain,40.188,33.914
1,2026-07-29,OP-101,load_truck,306.525,90.873,12,firm,rain,41.492,40.377
1,2026-07-29,OP-101,load_truck,389.974,116.894,12,firm,rain,36.948,43.499
1,2026-07-29,OP-101,load_truck,287.271,150.091,12,firm,rain,36.844,30.634
1,2026-07-29,OP-101,load_truck,55.212,9.368,12,firm,rain,37.269,7.367
1,2026-07-29,OP-101,load_truck,91.248,69.807,12,firm,rain,41.381,13.65
1,2026-07-29,OP-101,load_truck,249.066,132.262,12,firm,rain,39.328,29.304
1,2026-07-29,OP-101,load_truck,47.876,27.717,12,firm,rain,34.73,5.012
1,2026-07-29,OP-101,load_truck,97.14,80.563,12,firm,rain,37.087,10.05
1,2026-07-30,OP-101,trenching,341.943,113.696,12,firm,clear,42.245,63.277
1,2026-07-30,OP-101,trenching,340.082,122.821,12,firm,clear,42.357,52.266
1,2026-07-30,OP-101,trenching,396.052,41.008,12,firm,clear,38.563,51.243
1,2026-07-30,OP-101,trenching,122.523,19.502,12,firm,clear,35.975,16.32
1,2026-07-30,OP-101,trenching,247.237,112.695,12,firm,clear,40.107,38.751
1,2026-07-30,OP-101,trenching,86.848,10.815,12,firm,clear,39.502,15.593
1,2026-07-30,OP-101,trenching,157.909,37.135,12,firm,clear,37.211,20.038
1,2026-07-30,OP-101,trenching,187.171,20.97,12,firm,clear,38.342,25.604
1,2026-07-30,OP-101,trenching,289.89,120.354,12,firm,clear,42.519,42.071
1,2026-07-30,OP-101,trenching,298.347,71.051,12,firm,clear,39.771,34.692
1,2026-07-31,OP-101,grading,316.32,79.171,12,firm,rain,55.691,80.547
1,2026-07-31,OP-101,grading,417.487,155.789,12,firm,rain,49.552,114.377
1,2026-07-31,OP-101,grading,138.681,25.356,12,firm,rain,47.483,31.012
1,2026-07-31,OP-101,grading,356.067,130.543,12,firm,rain,49.115,77.293
1,2026-07-31,OP-101,grading,239.614,70.745,12,firm,rain,55.227,72.41
1,2026-07-31,OP-101,grading,100.738,55.811,12,firm,rain,52.887,33.483
1,2026-07-31,OP-101,grading,176.319,157.389,12,firm,rain,50.894,45.792
1,2026-07-31,OP-101,grading,332.689,79.714,12,firm,rain,49.292,93.122
1,2026-07-31,OP-101,grading,356.078,95.955,12,firm,rain,50.189,89.538
1,2026-07-31,OP-101,grading,225.547,126.143,12,firm,rain,46.66,53.747
1,2026-08-01,OP-101,grading,370.742,82.134,12,firm,clear,46.638,67.732
1,2026-08-01,OP-101,grading,292.846,77.066,12,firm,clear,47.273,63.962
1,2026-08-01,OP-101,grading,375.188,33.642,12,firm,clear,43.231,76.08
1,2026-08-01,OP-101,grading,346.553,99.689,12,firm,clear,44.47,84.402
1,2026-08-01,OP-101,grading,64.186,153.857,12,firm,clear,48.353,17.114
1,2026-08-01,OP-101,grading,348.117,70.975,12,firm,clear,41.547,57.848
1,2026-08-01,OP-101,grading,180.853,22.692,12,firm,clear,44.661,32.665
1,2026-08-01,OP-101,grading,256.874,145.214,12,firm,clear,42.635,47.467
1,2026-08-01,OP-101,grading,242.191,108.343,12,firm,clear,42.989,44.579
1,2026-08-01,OP-101,grading,166.4,6.162,12,firm,clear,44.39,30.722
1,2026-08-02,OP-101,stockpile,90.112,9.681,12,firm,clear,29.031,6.465
1,2026-08-02,OP-101,stockpile,213.85,64.892,12,firm,clear,32.655,18.317
1,2026-08-02,OP-101,stockpile,69.956,41.162,12,firm,clear,31.72,4.057
1,2026-08-02,OP-101,stockpile,260.924,119.701,12,firm,clear,28.789,19.208
1,2026-08-02,OP-101,stockpile,58.651,30.114,12,firm,clear,26.98,4.221
1,2026-08-02,OP-101,stockpile,45.22,45.54,12,firm,clear,28.822,4.832
